Facility,Full Lockdown,Partial Lockdown,Date,Time,Shift
menard correctional center,0,0,2025-09-09,2025-09-09 12:30:35.863195-04:00,Shift 2
pinckneyville correctional center,0,1,2025-09-09,2025-09-09 12:30:35.863195-04:00,Shift 2
joliet treatment center,0,0,2025-09-09,2025-09-09 12:30:35.863195-04:00,Shift 2
robinson correctional center,0,0,2025-09-09,2025-09-09 12:30:35.863195-04:00,Shift 2
shawnee correctional center,0,0,2025-09-09,2025-09-09 12:30:35.863195-04:00,Shift 2
sheridan correctional center,1,0,2025-09-09,2025-09-09 12:30:35.863195-04:00,Shift 2
southwestern illinois correctional center,0,0,2025-09-09,2025-09-09 12:30:35.863195-04:00,Shift 2
stateville correctional center,0,0,2025-09-09,2025-09-09 12:30:35.863195-04:00,Shift 2
taylorville correctional center,0,0,2025-09-09,2025-09-09 12:30:35.863195-04:00,Shift 2
vandalia correctional center,0,0,2025-09-09,2025-09-09 12:30:35.863195-04:00,Shift 2
vienna correctional center,0,0,2025-09-09,2025-09-09 12:30:35.863195-04:00,Shift 2
western illinois correctional center,0,0,2025-09-09,2025-09-09 12:30:35.863195-04:00,Shift 2
